,User-ID,ISBN,Book-Rating
1396,277378,0446525537,4
1406,277378,0671646575,6
1422,277378,0399146431,5
1423,277378,0812507428,4
1424,277378,0812515560,5
1425,277378,0812515595,4
1465,277427,0060542128,7
1497,277427,0152050167,10
1522,277427,0316777722,8
1543,277427,0345452534,10
1570,277427,0380791978,9
1578,277427,044022165X,9
1581,277427,0385486804,9
1583,277427,0385721676,9
1584,277427,0765349671,8
1586,277427,006101351X,8
1599,277427,0399149562,7
1601,277427,1573226122,9
1607,277427,0425104338,9
1611,277427,0425116840,8
1615,277427,0425133516,9
1628,277427,0425190749,7
1637,277427,0440185327,5
1647,277427,0385472951,7
1650,277427,0385334842,8
1652,277427,038533558X,9
1655,277427,0440428130,8
1659,277427,0441627404,10
1662,277427,0446359866,9
1663,277427,0446522384,8
1664,277427,0446600415,10
1670,277427,0446525774,10
1688,277427,0451158237,8
1690,277427,0399146245,10
1694,277427,0452284449,6
1710,277427,0553078925,8
1718,277427,0553280368,9
1724,277427,0553571656,10
1728,277427,0553573926,10
1729,277427,0553574566,9
1736,277427,0553581929,9
1750,277427,0671014420,5
1755,277427,0671528904,8
1763,277427,0671511424,8
1768,277427,0671876821,8
1772,277427,067940676X,10
1776,277427,0394572300,9
1778,277427,0679736042,5
1796,277427,0736903054,8
1797,277427,0740723367,9
1798,277427,0743406184,8
1799,277427,0743412028,9
1800,277427,0743212576,9
1802,277427,0743444477,9
1803,277427,0743457943,8
1807,277427,0767903382,10
1810,277427,0786886994,10
1826,277427,0810909650,5
1828,277427,0811802981,10
1829,277427,0811811409,10
1831,277427,0812531353,8
1838,277427,0836210263,10
1842,277427,0836217691,10
1844,277427,0836218515,10
1847,277427,0836218817,10
1849,277427,0836221192,10
1850,277427,0836221311,8
1852,277427,0836236688,10
1858,277427,0843947888,7
1880,277427,0890876517,10
1893,277427,0898157803,10
1919,277427,1400060265,10
1931,277427,1565075722,10
1951,277427,8251800811,7
1965,277439,0316168815,7
1966,277439,0345444892,5
1967,277439,0345452569,5
1969,277439,0399149821,7
1973,277439,0743486226,7
1991,277466,0440226414,7
1998,277466,0743439651,8
1999,277466,0553571885,8
2029,277478,0312146310,7
2039,277478,0312979533,7
2095,277478,0440213320,7
2115,277478,0449907635,5
2165,277478,0752853694,10
2254,277523,0316603570,10
2256,277523,0345452577,10
2257,277523,0345452593,10
2258,277523,0385336322,10
2260,277523,0440241537,10
2262,277523,0425137562,10
2263,277523,0399151877,10
2264,277523,0385508042,10
2265,277523,0446530891,10
2266,277523,0316602051,10
2267,277523,0399147381,10
2269,277523,0553560247,10
2270,277523,0553801589,10
2271,277523,0553803409,10
2272,277523,0440110653,10
2273,277523,0684835983,10
2275,277523,0743460529,10
2282,277527,0316776963,10
2283,277527,0374516812,10
2284,277527,0375707166,9
2285,277527,1400031699,7
2286,277527,0679723161,8
2316,277562,0140043519,9
2317,277562,0140274286,6
2330,277563,0312986769,7
2389,277623,0061020613,9
2392,277623,0786868015,4
2393,277623,0375422188,8
2394,277623,1400031354,8
2405,277629,0446604402,4
2407,277629,0380018179,8
2408,277629,0440221471,8
2409,277629,0425134350,9
2410,277629,0425116840,6
2411,277629,0385503822,8
2413,277629,068480297X,7
2414,277629,0684802988,8
2415,277629,0671026704,7
2417,277629,0671795740,9
2447,277639,0345257553,6
2522,277639,0425142485,7
2524,277639,0399142282,5
2540,277639,0385421982,9
2546,277639,0440430712,7
2556,277639,0446359408,8
2578,277639,0451162145,8
2608,277639,0451409450,8
2617,277639,0553106643,7
2675,277639,0812543262,8
2711,277662,051510566X,5
2712,277662,052594544X,4
2717,277662,0743412621,4
2720,277662,087542127X,5
2768,277710,0449225046,9
2769,277710,0316154601,5
2770,277710,0316602051,6
2771,277710,0399148817,10
2776,277710,0553801430,6
2790,277711,0553282980,5
2791,277711,0671755064,10
2792,277711,0812967224,7
2794,277711,1573227889,10
2828,277744,0061031550,8
2829,277744,0374129983,7
2831,277744,0345339681,3
2832,277744,0345409876,8
2835,277744,0385334036,5
2840,277744,0609806564,8
2846,277744,0887308589,9
2847,277744,0929634063,10
2848,277744,1551667517,8
2952,277879,0671759361,8
2984,277901,0064440044,10
2990,277901,0618526412,7
2991,277901,0446521582,7
3022,277922,0553582941,7
3028,277922,0553106651,9
3029,277922,067942525X,10
3053,277928,0440211263,8
3063,277928,0449908186,10
3076,277928,0679751602,10
3077,277928,0679445315,8
3078,277928,0201626705,10
3084,277928,0385605145,9
3086,277928,0394580567,9
3113,277929,0515129968,9
3114,277929,0553561537,9
3125,277937,0060934417,9
3128,277937,0316666343,7
3129,277937,0316785644,6
3130,277937,0375502238,6
3132,277937,0375415351,6
3135,277937,0684848406,6
3137,277937,0743225724,6
3138,277937,0743466527,7
3150,277945,031298328X,6
3153,277945,0380785218,2
3155,277945,0446610550,7
3156,277945,0525945938,8
3159,277945,0515121843,7
3160,277945,051512317X,7
3161,277945,0515124214,7
3162,277945,039914675X,7
3163,277945,0515136263,7
3165,277945,0515136379,7
3166,277945,0515136530,7
3167,277945,0399149848,8
3174,277954,0375759778,9
3187,277959,0446612618,6
3188,277959,0553576038,7
3190,277959,0688179088,8
3191,277959,0743411250,10
3192,277959,0767905385,6
3213,277965,0316789089,5
3223,277965,0374190666,10
3225,277965,076790592X,10
3227,277965,0425158616,8
3228,277965,0425175405,7
3235,277965,0446526126,8
3243,277965,0385492081,9
3247,277965,0688151981,9
3249,277965,0743204735,9
3250,277965,0761107363,10
3252,277965,0786886994,9
3254,277965,0786881852,7
3255,277965,0895261901,10
3280,277982,0743420373,8
3285,277984,0345386108,10
3292,277984,0446525804,10
3295,277984,0515104175,10
3337,278007,0316788228,6
3338,278007,0375501371,8
3339,278007,0374480133,8
3341,278007,0446670251,6
3342,278007,0804115761,7
3343,278007,0821766570,5
3381,278026,0060572965,9
3384,278026,0061031410,8
3386,278026,0061094129,8
3387,278026,0312983433,8
3388,278026,0345440056,8
3394,278026,0440236738,9
3400,278026,0446613053,8
3405,278026,0446612510,8
3406,278026,0345433300,8
3407,278026,0805004610,6
3408,278026,0449221512,5
3409,278026,0609603086,3
3410,278026,0451179153,8
3413,278026,0380812894,7
3414,278026,0451204301,8
3415,278026,0451206525,8
3416,278026,0515125490,8
3417,278026,0515129038,5
3418,278026,0399145923,8
3419,278026,0515135968,8
3421,278026,0553801279,6
3422,278026,0671001795,8
3426,278026,0671867113,8
3428,278026,0743460529,7
3437,278026,1551660717,7
3439,278026,1551669625,6
3546,278137,0060002492,7
3549,278137,0061057894,9
3551,278137,0140067647,9
3564,278137,0394498216,7
3575,278137,0373115431,8
3586,278137,0380708655,6
3603,278137,0440439884,8
3611,278137,0449209830,8
3616,278137,0515094978,8
3620,278137,0553287532,9
3627,278137,0142000221,4
3629,278137,0671004107,8
3647,278137,0399134204,8
3662,278137,1556611536,9
3796,278188,0156005891,8
3801,278188,0316171565,7
3817,278188,0373218192,7
3819,278188,0373244487,6
3827,278188,0373441762,4
3828,278188,0373441851,6
3831,278188,0373484003,7
3861,278188,0385319207,8
3862,278188,0440223571,9
3873,278188,0446603589,9
3888,278188,0399143696,8
3938,278188,0671644475,5
3953,278188,0778320286,8
3960,278188,080410946X,8
3976,278188,1551661586,6
3980,278188,1551665344,7
3989,278194,0020532105,10
3990,278194,0060171928,8
3991,278194,0060198125,7
3992,278194,0802713432,5
3993,278194,0156007819,3
3994,278194,0156011042,7
3995,278194,0345423135,9
3997,278194,0375705619,5
4001,278194,0385334923,7
4003,278194,0385498799,4
4006,278194,0385508042,7
4007,278194,0525946829,5
4008,278194,0452284449,8
4009,278194,0399142495,4
4010,278194,0553801279,6
4011,278194,0671683993,8
4013,278194,0688171877,9
4015,278194,087113795X,6
4021,278202,0446610178,3
4022,278202,0745926290,2
4023,278202,0312980159,4
4028,278202,0440224837,9
4029,278202,0440226430,3
4030,278202,0440235774,10
4031,278202,0440236673,3
4033,278202,0515133639,3
4034,278202,0446609617,1
4035,278202,0446611808,8
4040,278202,055357602X,4
4041,278202,0671510126,10
4042,278202,0671786458,7
4045,278202,0743206029,8
4061,278218,0679457313,7
4063,278218,0380729342,7
4086,278221,0553801376,9
4088,278221,0671027123,8
4093,278221,0743206045,8
4098,278221,0399134204,9
4099,278221,0840776381,8
4107,278221,1556611536,9
4108,278221,1556612257,10
4157,278257,0517595753,5
4185,278314,0140309578,8
4188,278314,0804114986,7
4190,278314,0440414121,8
4191,278314,0679764925,7
4194,278314,0691017840,4
4196,278314,1573229083,2
4220,278346,0140444173,10
4224,278346,0345334531,6
4230,278346,051513287X,6
4244,278356,006091646X,9
4246,278356,0140167153,8
4253,278356,0553580930,9
4259,278356,0439139597,10
4260,278356,043935806X,10
4268,278356,0671016768,8
4280,278356,0884270610,9
4301,278390,0440224713,7
4302,278390,0399147195,7
4303,278390,039914739X,4
4304,278390,0440236053,7
4306,278390,0446530239,8
4309,278390,0743486226,7
4310,278390,0671683993,10
4314,278390,038072975X,7
4316,278390,0399135782,9
4953,278418,0312970234,7
4992,278418,0345300742,8
5013,278418,0345352459,7
5985,278418,0394800168,10
5990,278418,0394820371,8
6155,278418,042513525X,5
6158,278418,0399137734,5
6186,278418,042518630X,7
6331,278418,0440184622,7
6349,278418,0385297661,7
6419,278418,0440479002,9
6643,278418,0451173392,6
6747,278418,0399145923,8
6749,278418,0515131229,8
6911,278418,0553297988,6
7523,278418,0671017136,5
7556,278418,0671502522,7
7674,278418,0671775715,6
8019,278418,0786862572,5
8096,278418,0812523466,5
8383,278418,0886776066,5
8882,278449,0312978340,8
8943,278522,0312955006,7
8945,278522,0425137937,7
8946,278522,0440225590,7
8947,278522,0515124060,7
8980,278535,0061094129,10
8994,278535,039914613X,8
8998,278535,0440221595,7
9002,278535,0446605484,10
9003,278535,0316666009,10
9004,278535,0316693235,9
9005,278535,0805059555,9
9007,278535,080501084X,8
9008,278535,0312977409,6
9055,278552,0553099558,9
9056,278552,0671003755,7
9059,278552,0684829746,10
9060,278554,0425184498,9
9063,278554,0152050167,10
9065,278554,0345423097,10
9108,278565,0449219399,9
9130,278582,0312265840,7
9136,278582,0312265867,6
9137,278582,0345348176,8
9138,278582,0345333853,10
9139,278582,0345440056,8
9141,278582,0425163717,7
9143,278582,0553583867,7
9144,278582,0425191583,8
9147,278582,0441478123,10
9148,278582,0449003183,8
9151,278582,0449221512,8
9153,278582,0451202503,10
9157,278582,0399149422,8
9161,278582,0671001795,8
9162,278582,0671877445,8
9197,278633,0060987561,10
9198,278633,0140244824,7
9200,278633,0140296298,7
9202,278633,067087311X,7
9204,278633,0786867647,8
9205,278633,0316168815,9
9206,278633,0316899992,7
9210,278633,0375703063,7
9214,278633,0385512147,7
9220,278633,0515137057,9
9222,278633,0385324057,9
9223,278633,0440212723,9
9227,278633,0449907481,6
9233,278633,0452283221,5
9235,278633,0515131083,10
9240,278633,0060174900,8
9244,278633,0671028014,5
9253,278633,1566840287,10
9256,278633,0446607207,9
9257,278633,0688170528,8
9258,278633,0743225082,7
9266,278633,0553565915,8
9309,278663,0061095052,5
9310,278663,0060915544,4
9312,278663,0385318073,10
9313,278663,0385334702,7
9347,278694,0515132039,6
9349,278694,074341022X,8
9350,278694,0743221990,9
9458,278843,0060976845,7
9465,278843,067087311X,9
9475,278843,0385491026,8
9477,278843,0804114986,9
9480,278843,0385301499,7
9485,278843,0553274503,8
9495,278843,0679412956,8
9503,278843,0767902890,9
9504,278843,0786881852,8
9533,278851,0439050006,5
9536,278851,0440486599,5
9545,278851,0894803700,5
9548,278851,1558532161,8
9554,278854,0375703063,7
9555,278854,0399142282,7
9560,278854,0553106333,8
9563,8,0002005018,5
9672,99,0312980159,8
9673,99,0312979886,8
9674,99,0316748641,7
9677,99,0446677450,10
9690,114,0446519804,9
9692,114,0446529788,8
9693,114,039914868X,8
9694,114,0553802461,9
9695,114,0743486226,10
9914,242,0553574019,10
9931,242,3257233051,9
9941,242,3492045642,8
9955,243,0061097314,10
9956,243,0679457313,7
9962,243,0316788228,9
9966,243,0316777722,9
9967,243,0316899992,7
9984,243,0440226406,6
9989,243,0385720106,7
9994,243,0399142851,9
10001,243,038550120X,7
10005,243,0446513067,9
10009,243,067187263X,6
10012,243,0345433300,6
10021,243,0553109839,8
10030,243,0786884142,5
10036,244,0679457313,7
10037,244,0060391448,8
10039,244,0375704965,8
10040,244,0525947647,9
10041,244,0679410325,8
10057,254,0380973642,9
10059,254,0060976977,7
10073,254,0066238501,5
10130,254,0373226063,6
10132,254,0373226144,5
10161,254,0373834446,8
10164,254,0373834489,9
10184,254,0060533986,8
10202,254,0804114986,9
10212,254,0439139600,9
10246,254,0451406176,6
10248,254,0451409256,7
10253,254,0451524667,8
10270,254,0380729407,8
10290,254,0671003755,7
10360,254,1931081727,9
10382,300,0312963009,5
10385,300,0688149790,5
10387,300,0517595753,9
10390,300,0375406530,5
10436,383,0552998001,10
10437,383,044021145X,10
10445,383,0345418778,10
10452,383,0743204700,5
10483,388,0060973897,8
10484,388,0060517794,3
10492,388,0449002632,7
10494,388,0525941673,10
10503,388,1573229628,5
10505,388,1878424319,7
10588,408,189205101X,9
10612,424,0452284481,7
10614,424,0671003755,6
10616,424,0805063889,8
10648,446,0060925000,8
10650,446,0061000280,10
10657,446,0425182908,3
10667,446,081296666X,5
10714,487,0609607375,7
10729,487,0671673661,6
10748,503,0140179836,10
10751,503,0345348656,8
10756,503,0679442405,10
10760,503,0440241006,10
10763,503,0515131679,8
10773,503,1558743669,10
10776,505,006093090X,9
10778,505,0394534433,7
10783,505,042517736X,7
10787,505,0671868713,8
10789,505,0805056491,9
10792,507,0020427859,9
10794,507,0060558865,8
10801,507,0525934960,7
10813,507,0312986769,9
10819,507,0345369068,8
10847,507,0451184718,9
10856,507,0553564528,7
10858,507,0553571842,7
10860,507,0553576801,7
10867,507,0553583441,7
10868,507,0553583468,7
10886,507,0689710887,10
10887,507,0689710895,10
10888,507,0689711522,10
10890,507,0743260244,10
10896,507,0767912918,7
10904,507,0812533054,10
10910,507,0515128007,8
10951,566,0399144463,2
10952,566,0618231617,8
10956,567,0140185216,10
10958,567,0425174484,8
10961,567,0684717255,9
10969,595,0060083298,9
10971,595,0446525502,9
10972,595,0618526412,10
11006,625,2253007102,10
11009,625,2266084372,8
11071,638,0061097101,9
11073,638,0140107649,10
11076,638,067976402X,10
11077,638,0446615145,9
11078,638,0316168815,10
11082,638,0316777722,10
11083,638,0316779423,10
11085,638,0316789089,10
11096,638,0765349671,10
11097,638,0385508417,10
11103,638,0399148582,9
11107,638,0446610399,9
11108,638,0446608955,9
11110,638,0446691798,10
11116,638,0449006344,8
11117,638,0451409973,8
11120,638,0671042564,9
11123,638,0375707972,10
11127,638,0679732241,9
11128,638,0679746048,7
11134,638,0380730138,9
11136,638,0743456866,9
11137,638,0743406184,10
11140,638,1558747028,10
11141,638,1558747346,8
11152,643,0061092606,8
11157,643,0140366660,9
11160,643,0140622063,8
11174,643,0671894455,7
11175,643,0743222229,8
11216,643,2253043974,8
11218,643,2253049417,9
11220,643,2253063339,10
11221,643,2253140872,8
11249,651,0345370740,7
11251,651,0671870114,7
11258,651,0425142485,6
11265,651,0451456548,7
11271,651,0679801146,4
11272,651,0786866462,7
11273,651,0786889160,7
11279,651,156341029X,8
11282,651,1563899388,6
11314,709,0152012397,10
11316,709,0316168815,3
11326,709,0440219078,10
11330,709,0590897985,9
11390,735,0007110928,4
11393,735,0440222818,7
11395,735,0385317093,9
11397,735,0316153915,9
11404,735,0515134368,9
11525,776,0618173870,7
11526,776,0140274154,9
11528,776,0375704027,8
11530,776,0876850867,8
11550,805,0060256672,10
11555,805,0140070206,9
11556,805,0140077022,10
11557,805,014016930X,10
11559,805,0140253602,4
11567,805,0375703861,8
11573,805,039592720X,9
11574,805,0385335970,8
11580,805,0671021001,8
11582,805,0394717155,10
11590,805,0877733759,10
11619,834,0670892084,5
11621,834,0449005569,3
11623,834,0671027344,7
11628,834,1558747346,5
11644,850,0671578103,6
11686,853,0140042520,8
11687,853,0345423496,5
11715,882,0689713703,10
11722,882,0380432811,10
11723,882,0064402967,5
11738,882,0345334930,8
11740,882,0373218400,5
11741,882,0373484224,7
11746,882,0380018179,10
11752,882,0765349671,10
11757,882,0399145990,10
11764,882,0385334036,10
11777,882,0452265347,10
11779,882,051509465X,9
11782,882,0515134368,6
11783,882,039914840X,6
11785,882,0609610996,8
11787,882,0312966202,9
11792,882,0553148001,10
11797,882,0553272586,5
11799,882,055357535X,10
11805,882,0679417796,10
11811,882,0316735698,4
11813,882,0671641778,10
11818,882,0679429220,9
11820,882,0151001006,10
11827,882,0743457943,5
11850,899,0971880107,2
11851,899,2253150908,9
11870,900,0449212084,5
11903,901,0785268480,10
11955,929,0312140940,8
11958,929,0345285549,5
11962,929,0345384385,5
11969,929,044022330X,7
11974,929,043942089X,8
11977,929,0440224624,6
11999,929,0679741011,5
12004,929,0894803700,8
12092,1025,0060562080,8
12112,1025,0380012863,8
12124,1025,0380815923,9
12143,1025,0743225082,8
12185,1063,0345387007,5
12190,1063,0671880187,5
12199,1075,0316168815,7
12200,1075,0679432477,7
12201,1075,0765349671,7
12203,1075,0553377868,9
12204,1075,0375725601,10
12206,1075,0767902513,9
12211,1083,014131088X,10
12216,1083,0399135782,7
12248,1116,0061030651,8
12249,1116,006109594X,7
12250,1116,031298250X,4
12253,1116,039914787X,6
12255,1116,0553575619,5
12264,1129,0064407667,4
12265,1129,0745926290,7
12268,1129,0440224764,6
12270,1129,0553076256,3
12278,1131,0060934417,8
12279,1131,0060517794,7
12280,1131,0060176075,8
12281,1131,0061098361,7
12287,1131,0312284683,6
12290,1131,0345370805,7
12293,1131,0375703055,7
12296,1131,0385480016,9
12299,1131,0394758285,7
12300,1131,0804120021,8
12303,1131,0618526412,7
12304,1131,0349111863,5
12306,1131,0449149676,7
12317,1131,0671673653,7
12318,1131,0679761837,7
12319,1131,0679772677,7
12321,1131,0743418166,7
12336,1155,0373250223,8
12344,1155,0060090383,10
12348,1155,0451409256,9
12351,1155,0671689231,7
12354,1161,0060194448,5
12356,1161,0684863472,5
12363,1167,0060192119,10
12371,1167,038533656X,5
12372,1167,038529932X,5
12373,1167,038529929X,8
12378,1167,0679450548,7
12379,1167,0743230213,7
12380,1167,0802135196,9
12440,1211,0765349671,9
12448,1211,0752853694,8
12449,1211,078686298X,8
12461,1211,2070360024,8
12481,1211,2253005274,8
12491,1211,2266022504,8
12494,1211,226612269X,7
12539,1248,0449912558,10
12545,1248,0679452281,9
12576,1261,0316777722,8
12577,1261,0345401123,7
12580,1261,0688167888,8
12700,1409,0375500510,8
12701,1409,0373218192,8
12702,1409,042517736X,9
12704,1409,0515120006,6
12705,1409,0399144315,5
12708,1412,0345416260,9
12709,1412,0345433084,6
12710,1412,0385486804,9
12728,1424,0060175400,7
12734,1424,0679735186,6
12735,1424,0060915544,5
12747,1424,0142001430,7
12749,1424,0151002290,6
12752,1424,0156001314,8
12756,1424,031215125X,7
12757,1424,0805051309,8
12759,1424,0316291161,8
12772,1424,0380603764,6
12775,1424,0385336403,6
12777,1424,0385720106,7
12779,1424,039914255X,7
12794,1424,0553295071,6
12803,1424,0671646575,8
12804,1424,0671776126,8
12818,1424,0743418735,7
12819,1424,0743431014,7
12828,1424,0767902513,8
12834,1424,0399134204,6
12866,1435,0061097314,10
12878,1435,038056176X,5
12885,1435,0375505547,7
12887,1435,0688148638,10
12896,1435,0451156609,5
12911,1435,0446611239,10
12912,1435,0618526412,8
12916,1435,0451210638,7
12919,1435,0399148817,4
12925,1435,0517573822,10
12941,1435,0679751343,8
12946,1435,0684865742,5
12947,1435,0671026011,9
12957,1435,0399135782,10
12973,1435,0971880107,5
12979,1435,1573229083,4
13007,1467,0671001701,7
13081,1548,0060394447,1
13087,1548,0345425707,8
13088,1548,0345434684,7
13093,1548,0425167313,8
13094,1548,0451821971,7
13097,1548,0553131893,8
13098,1548,0553234609,9
13113,1558,0446612626,9
13114,1558,1573220825,7
13116,1558,055328942X,10
13137,1585,0345452534,7
13140,1585,0316154059,6
13143,1585,0451178033,6
13145,1585,0553299506,7
13147,1585,0671042858,4
13172,1608,0515090174,8
13173,1608,0515095826,8
13174,1608,0399137807,8
13203,1660,0312983654,6
13204,1660,0449223795,3
13206,1660,0553561618,6
13207,1660,0553801341,5
13212,1660,0761121323,7
13233,1674,0060931221,10
13238,1674,0060975547,9
13251,1674,0449242072,7
13253,1674,0684863472,10
13256,1674,0385483503,10
13257,1674,038548951X,10
13258,1674,0385497288,10
13259,1674,0393312801,10
13266,1674,0449912558,5
13270,1674,0553380958,10
13295,1688,0515122491,5
13296,1688,0553569082,5
13297,1688,0515131091,6
13311,1706,0345392825,5
13316,1706,0679721819,8
13349,1733,0380802325,9
13356,1733,0312284683,5
13357,1733,0316780812,5
13360,1733,0345447832,10
13372,1733,0373218400,9
13378,1733,0373240228,10
13379,1733,0373242328,6
13424,1733,0380775840,9
13431,1733,0440168724,9
13436,1733,0440160677,7
13439,1733,0688084907,5
13440,1733,0446611808,7
13443,1733,0446603082,8
13450,1733,0505524333,10
13454,1733,0515118230,8
13457,1733,051513287X,9
13459,1733,0553578308,7
13461,1733,0553285947,7
13463,1733,0553562746,7
13465,1733,0553574078,8
13469,1733,0671007696,9
13476,1733,067179793X,5
13480,1733,0743206061,8
13496,1733,0971880107,1
13497,1733,1551664348,7
13500,1733,1551665794,7
13503,1733,1551669404,6
13531,1790,0060506679,4
13532,1790,0375701427,8
13533,1790,0385424736,5
13535,1790,0671673653,8
13562,1805,0066211611,7
13563,1805,0312195516,9
13564,1805,0312281250,7
13569,1805,843760494X,8
13576,1812,0312979479,9
13578,1812,0375727566,8
13612,1848,0061030651,5
13622,1848,034540727X,9
13624,1848,0345378482,8
13627,1848,0679444815,8
13630,1848,0375411992,9
13631,1848,0375705090,9
13654,1848,156584100X,10
13656,1848,0762406984,10
13660,1848,0786868716,10
13662,1848,0812511816,10
13663,1848,0812513738,8
13756,1903,0345333152,10
13762,1903,039453512X,10
13773,1903,0385504470,2
13788,1903,0385314744,6
13789,1903,0446391581,10
13813,1903,0385479565,10
13818,1903,0684866005,1
13820,1903,068815252X,3
13835,1903,078688939X,6
13900,1928,0316168815,10
13906,1928,0394856392,9
13990,2010,0060090367,6
13992,2010,0440221420,5
13994,2010,0679454454,10
13996,2010,0451197879,8
14000,2010,0684836491,5
14001,2010,0684859262,8
14003,2010,0380730820,9
14012,2012,0446609145,9
14014,2012,0345353145,8
14020,2012,0805019359,8
14022,2012,0515120863,6
14023,2012,0553279912,10
14024,2012,0553245694,5
14064,2030,0061073628,10
14066,2030,0062502182,10
14069,2030,0062509594,10
14070,2030,006251279X,10
14071,2030,0062513346,10
14075,2030,0345453549,8
14077,2030,0385315287,10
14080,2030,0425133656,10
14081,2030,0440108268,10
14083,2030,044020562X,10
14091,2030,067084487X,10
14092,2030,0671777351,10
14109,2030,1561706213,10
14120,2033,0060248025,10
14121,2033,0060256656,10
14122,2033,0060256737,10
14123,2033,0060950536,10
14144,2033,0316779059,10
14145,2033,0394498216,5
14148,2033,0140328696,10
14149,2033,0380775123,10
14154,2033,0399523308,6
14157,2033,0439139600,9
14158,2033,043935806X,9
14168,2033,0451456718,10
14170,2033,0451458028,10
14171,2033,0765300265,10
14182,2033,051513628X,6
14191,2033,0553379534,10
14192,2033,0553096834,8
14201,2033,0671524313,6
14202,2033,0671676253,10
14208,2033,0688117619,7
14209,2033,0380728729,8
14224,2033,0765342987,10
14225,2033,0765345048,10
14228,2033,0786880007,8
14234,2033,0812500865,7
14241,2033,0812532554,10
14242,2033,0812532597,8
14243,2033,0812532619,8
14244,2033,0812532635,8
14247,2033,0812533313,10
14253,2033,0812575717,10
14256,2033,0836218256,9
14257,2033,0836218787,10
14266,2033,0886774004,10
14269,2033,0886774012,9
14270,2033,0886777739,10
14273,2033,0886774632,10
14274,2033,0886775035,10
14279,2033,0886776120,8
14280,2033,0886775876,10
14283,2033,0886776619,9
14300,2033,0920668364,10
14322,2041,0345406036,8
14323,2041,044021145X,7
14324,2041,044022165X,7
14328,2041,0679743243,5
14329,2041,068483376X,1
14397,2090,0380470845,8
14402,2090,0440162041,10
14412,2090,0671646575,5
14413,2090,0679728872,6
14422,2103,0440224764,9
14425,2103,0061020621,10
14448,2110,0060392827,7
14449,2110,0060294698,8
14455,2110,0152012397,8
14459,2110,0345283929,10
14461,2110,0345384385,10
14462,2110,0345314255,10
14463,2110,0345317580,10
14464,2110,0345335287,10
14466,2110,0345362276,10
14467,2110,0345375580,10
14468,2110,0345423038,6
14496,2110,0380570009,10
14506,2110,0439176824,8
14525,2110,0399143335,8
14526,2110,0399144315,8
14528,2110,039914675X,5
14529,2110,0399149422,3
14530,2110,0553296124,9
14550,2110,0590629778,10
14551,2110,0590629786,10
14552,2110,0590629794,10
14565,2110,0671532642,8
14571,2110,0671751174,10
14595,2110,0886774500,9
14622,2132,0060002050,8
14647,2132,0451208293,9
14652,2132,0553583905,1
14668,2132,1551666766,8
14700,2139,0142004235,8
14701,2139,0385335830,7
14702,2139,0399145923,10
14703,2139,039914840X,10
14704,2139,0553272837,10
14705,2139,0743262174,8
14731,2179,006098726X,9
14736,2179,0312995423,8
14739,2179,0380815931,10
14740,2179,0765349671,10
14744,2179,0446532231,9
14746,2179,0451458370,9
14751,2179,0553373803,10
14758,2179,0671721046,10
14767,2179,0886777844,9
14768,2179,0887307884,9
14786,2189,0141002077,6
14787,2189,0312243359,8
14801,2197,0312278586,9
14806,2197,0440225272,8
14811,2197,1550223968,8
